x,y
0,0
0.0967,0.06983
0.104,0.09232
0.104,0.3374
0.0933,0.9941
0.0967,1.581
0.0758,0.4788
0.0892,0.3996
0.147,0.4518
0.169,0.3051
0.173,0.4657
0.171,0.3715
0.173,0.3956
0.172,0.4512
0.173,0.3487
0.173,0.7012
0.154,0.6621
0.17,0.5223
0.122,0.4342
0.173,0.4087
0.178,0.4771
0.166,0.5657
0.192,0.5662
0.192,0.5662
0.179,0.5451
0.19,0.8558
0.169,0.7158
0.185,0.7081
0.146,1.185
0.171,2.329
0.459,22.49
0.697,42.66
0.947,63.02
1.43,80.81
1.59,87.09
1.71,96.97
2.27,103.9
2.55,108.3
2.96,115.8
3.42,122.6
3.83,129.9
4.26,137
4.56,144.3
5.03,151.8
5.37,157.9
5.81,164.4
5.81,164.4
6.12,168.5
6.13,164.8
6.12,162.3
6.15,161
5.77,140.7
5.4,124.2
5.02,108.9
4.59,95.58
4.28,82.71
3.92,70.35
3.53,57.13
3.14,43.21
2.73,28.34
2.33,12.29
1.97,-3.5
1.67,-17.61
1.53,-23.94
1.14,-40.45
0.778,-54.9
0.743,-55.49
0.289,-66.34
-0.00584,-76.87
-0.00584,-76.87
-0.396,-86.01
-0.854,-94.65
-1.33,-103
-1.71,-110.8
-2.09,-117.1
-2.54,-124.4
-2.99,-131.7
-3.46,-139.7
-3.87,-147
-4.3,-154.3
-4.8,-161.6
-5.02,-164.5
-5.01,-154.5
-5.02,-153.5
-5.02,-153.5
-5.04,-152.5
-4.68,-134.9
-4.3,-117.1
-3.91,-101.6
-3.51,-86.05
-3.09,-71.92
-2.64,-57.18
-2.64,-57.18
-2.26,-42.98
-1.88,-29.07
-1.53,-14.86
-1.2,-0.2345
-0.796,14.49
-0.392,29.51
-0.0283,41.15
-0.0825,37.38
0.299,50.36
0.672,59.76
1.05,69.12
1.46,77.43
1.92,85.79
2.25,92.11
2.68,98.12
2.99,105
3.51,111.7
3.95,119.5
4.27,126.4
4.76,134.9
5.15,142.5
5.56,151
5.56,151
6.02,161.8
6.26,164
6.23,161
5.74,143.9
5.6,129.3
5.22,114.2
4.89,101.7
4.44,87.91
3.99,74.55
3.57,60.77
3.24,50.6
2.76,36.51
2.39,22.61
2.26,19.75
1.96,5.991
1.6,-6.58
1.23,-21.26
0.841,-35.74
0.446,-48.55
0.0175,-60.23
-0.376,-69.61
-0.804,-79.26
-0.804,-79.26
-1.32,-88.45
-1.74,-97.48
-2.13,-105.8
-2.64,-113.6
-2.99,-121.2
-3.46,-128.7
-3.91,-137
-4.34,-146.3
-4.77,-155.3
-5.1,-156.7
-5.11,-154.9
-5.12,-154.2
-4.71,-134.1
-4.22,-113.4
-3.66,-92.69
-3.04,-72.09
-2.47,-51.86
-1.84,-32.05
-1.35,-11.92
-0.955,9.799
-0.216,29.85
0.439,50.39
0.439,50.39
1.24,71.13
2.17,90.06
2.97,106.2
3.96,121
4.89,137.6
5.71,154.9
6.17,163
6.23,161.9
6.25,158.9
6.15,157.2
5.77,136.4
5.19,115.5
4.62,94.05
3.93,73.01
3.15,52.93
2.62,32.86
2.05,12.71
1.47,-8.496
0.898,-28.76
0.343,-48.96
-0.425,-68.98
-1.24,-88.73
-1.24,-88.73
-2.26,-108.2
-3.09,-125.8
-4.05,-141.1
-4.97,-160
-5.12,-161.7
-5.14,-156.4
-5.34,-154.8
-4.7,-134.6
-4.21,-114.6
-3.65,-93.93
-3.01,-73.29
-2.4,-53.57
-1.84,-33.74
-1.28,-13.71
-0.72,7.371
-0.124,27.94
0.454,48.34
1.23,69.16
2.07,88.25
2.97,106.9
3.87,123.2
4.72,138.6
4.72,138.6
5.65,155.4
6.56,174.3
7.46,193.1
8.15,208.9
9.22,221.9
10.1,234.7
11,246.3
11.8,257.2
12.9,268.6
13.6,279
14.6,288.2
15.8,290.4
16.7,295.7
17.7,300
18.6,303
19.5,306.2
20.5,307.5
21.2,309.1
22,311.4
22.9,311.9
23.4,292.5
23.4,289.2
23.4,289.2
23.5,287.2
22.9,266
22.3,245.3
21.5,223.4
20.7,202.3
19.9,182.3
18.9,161.8
18.1,143
17.2,124.4
16.1,106.5
15.2,89.45
14.5,74.93
13.7,59.82
12.7,46.34
11.9,32.4
11,18.82
10.1,5.69
9.11,-6.862
8.12,-18.38
7.3,-30.98
6.43,-41.86
5.54,-52.57
5.54,-52.57
4.57,-62.59
3.72,-72.43
2.75,-82.94
1.82,-94.63
0.865,-107.4
0.808,-100.6
0.799,-96.65
0.798,-95.18
0.0908,-115.7
-0.79,-129.8
-1.74,-141.9
-2.69,-152.2
-3.73,-162.8
-4.52,-175.4
-5.45,-189.4
-6.39,-203.5
-7.24,-215.6
-8.14,-227.4
-9.03,-238.7
-9.96,-249.7
-10.9,-260.2
-11.8,-269.5
-11.8,-269.5
-12.6,-278.1
-13.5,-285.9
-14.5,-289.4
-15.4,-292.6
-16.3,-295.4
-17.3,-298.4
-18.2,-300.2
-19.2,-301.6
-20.2,-303.3
-21.2,-302.6
-22,-302.1
-23,-302.3
-24,-302.6
-24.3,-302.2
-24.2,-282.5
-24.3,-279.7
-23.8,-259.9
-23.1,-239.8
-22.3,-219.5
-21.5,-199.9
-20.7,-180.4
-19.7,-160.3
-19.7,-160.3
-18.9,-142
-18.1,-124.5
-17.2,-108.2
-16.3,-92.89
-15.5,-77.74
-14.5,-64.57
-13.6,-52.91
-12.8,-41.57
-11.9,-29.59
-11,-17.63
-9.56,-0.1512
-8.21,14.66
-6.75,30.21
-5.32,43.74
-3.85,56.79
-2.44,65.65
-2.43,63.98
-2.43,60.31
-2.59,59.44
-2.07,68.52
-0.568,83.02
0.923,95.55
0.923,95.55
2.39,108.5
3.82,120.6
5.33,131.6
6.82,142.9
8.35,154.2
9.87,166.5
11.3,180.5
12.7,194.4
14.1,209.2
15.7,224.9
17.2,240.1
18.6,254.4
20.1,269.4
21.6,282.4
23,294.6
23.8,290.3
23.8,285
23.8,277.5
23.9,274.5
23.8,274
22.6,241.9
21.5,209.9
21.5,209.9
20,178.9
18.9,149.1
17.4,120.1
15.9,94.09
14.6,71.02
13.1,51.44
11.7,34.25
10.3,15.56
8.98,2.646
9.18,2.743
9.06,2.953
7.57,-19.49
6.07,-37.89
4.61,-53.68
3.05,-67.97
1.63,-80.6
0.0817,-94.18
-1.41,-107.8
-2.83,-121.4
-4.37,-134.1
-5.81,-145.2
-7.32,-155.2
-7.32,-155.2
-8.86,-165.3
-10.3,-176.1
-11.9,-188.1
-13.3,-201.8
-14.7,-216.4
-16.1,-229.6
-17.6,-243.1
-19.1,-256.6
-20.7,-269.5
-22.2,-281
-23.7,-290.8
-23.9,-288.1
-24.1,-285.8
-24,-272.8
-24.1,-270.3
-23,-239.6
-21.8,-208.5
-20.5,-178.7
-19.1,-149.7
-17.7,-122.2
-16.2,-97.44
-14.8,-74.89
-14.8,-74.89
-13.3,-55.16
-11.9,-37.75
-10.5,-19.91
-9.06,-2.098
-8.3,5.376
-8.32,2.255
-8.29,1.593
-8.25,0.9773
-6.74,23.65
-5.26,39.17
-3.74,53.17
-2.19,65.8
-0.877,77.7
0.702,88.47
2.29,101.7
3.85,116.1
5.28,128.8
6.68,140.6
8.39,151.6
9.91,161.4
11.4,172.2
12.9,185.7
12.9,185.7
14.5,200.7
16,215.9
17.5,229.9
18.9,243.4
20.4,256.5
21.9,270.7
23.3,283
23.2,279.5
23.4,271
23.4,268.4
22.3,236.5
21,204.4
19.5,173.4
18.3,144.1
16.9,117.1
15.4,91.6
14,68.78
12.5,49.47
11,32.6
9.49,14.02
8.33,0.3604
8.36,3.539
8.36,3.539
8.35,4.224
6.95,-18.26
5.35,-36.55
3.95,-52.97
2.43,-67.51
0.915,-81.21
-0.63,-94.17
-2.09,-108.7
-3.64,-122.4
-5.24,-135.8
-6.76,-148.1
-8.21,-157.9
-9.74,-167.7
-11.3,-177.8
-12.8,-188.8
-14.1,-201.8
-15.8,-215
-17.2,-228.1
-18.6,-240.8
-20.1,-254
-21.5,-264.3
-23,-276.5
-23,-276.5
-23.3,-272.4
-23.3,-271.9
-23.3,-265.6
-23.5,-263.3
-22.3,-233.2
-21.2,-202.5
-19.8,-172.5
-18.4,-142.8
-16.9,-116.6
-15.6,-93.26
-14.2,-72.51
-12.7,-54.39
-11.2,-37.17
-9.84,-19.79
-8.36,-1.989
-7.64,3.668
-7.64,2.093
-7.6,1.673
-7.6,1.47
-7.62,1.544
-7.59,1.493
-7.6,1.485
-7.6,1.485
-7.61,1.514
-6.39,3.7
-6.39,3.663
-6.52,3.729
-6.37,3.53
-6.38,3.419
-4.46,32.85
-1.79,61.77
1.12,87.11
4.04,114.4
6.96,140.5
9.79,160.7
12.9,181.3
15.5,202.7
15.5,197
15.6,194.5
17.5,224.7
20.4,253.5
23.4,281.7
23.7,280.1
26.9,298.2
30.1,305.8
30.1,305.8
33.4,311.2
36.7,314.4
39.9,317.6
43.1,319.6
46.2,321
46.4,311
46.4,307.1
46.2,300.9
46.4,297.9
45.4,266.7
43.9,235.7
42.6,204.5
41.1,174.1
39.4,143.7
38.4,129.7
38.4,131
38.4,131.7
36.7,101.3
34.4,71.3
31.8,41.58
28.7,12.61
25.9,-8.718
25.9,-8.718
25.9,-3.546
25.9,-2.648
25.9,-2.318
22.9,-31.83
19.9,-49.69
17,-64.79
14,-79.21
11.1,-93.24
8.02,-106.4
4.96,-120.6
2.01,-134.8
-0.00167,-139.1
-0.000834,-132.8
-0.13,-131.8
-3.09,-159.8
-6.18,-173.3
-9.21,-187.9
-12.1,-205.2
-15.1,-223.6
-18,-240.6
-20.8,-256.1
-23.7,-269.1
-23.7,-269.1
-26.9,-279.7
-30.1,-288.3
-33.4,-294.1
-36.7,-298.4
-40,-302
-43.2,-305.5
-45.5,-302.7
-45.6,-283.6
-45.6,-279
-45.6,-276.2
-44.5,-246.6
-43.1,-216.3
-41.5,-186
-39.7,-156.2
-37.8,-126.9
-37.5,-123.3
-37.5,-124.5
-37.5,-126.3
-37.5,-126.8
-35.7,-97.01
-33.2,-66.54
-30,-38.34
-30,-38.34
-26.9,-12.15
-23.9,10.76
-23.5,11.5
-23.2,14.56
-23.2,9.235
-23.2,8.537
-20.2,35.06
-17.2,50.55
-14.2,64.31
-11.3,76.98
-8.29,89.11
-5.2,101.6
-2.17,114.6
0.59,127.6
3.76,140.8
4.33,139.3
4.35,133.3
4.35,133.1
4.27,130.6
4.36,129.1
7.48,156.7
10.5,168.8
10.5,168.8
13.6,179.8
16.6,192.1
19.5,205.1
22.5,218.6
25.6,231.5
28.9,243.9
32,256.8
35.3,270.1
38.3,282.8
41.5,294
44.9,304.6
46.2,302.4
46.4,293.1
46.4,288.1
46.2,284.9
45.1,253.5
43.9,223
42.4,192.1
40.8,161.8
39,131
38.8,128.5
38.7,130.5
38.7,130.5
38.8,131.1
37,100.5
34.8,70.6
31.9,40.77
28.8,15.76
25.6,-9.259
25.2,-9.667
25.4,-5.611
25.4,-4.649
22.2,-33.05
19.1,-49.68
16.2,-65.16
13.3,-78.43
10.2,-91.44
7.25,-104.7
4.27,-117.4
1.24,-130.5
-1.75,-143.2
-1.76,-138.7
-1.75,-136.5
-1.77,-130
-1.77,-130
-1.77,-130
-1.8,-128
-4.91,-155.9
-7.95,-167.7
-10.9,-177.7
-13.9,-188
-16.7,-199.3
-19.6,-210.8
-22.6,-222
-25.7,-232.6
-28.8,-243.1
-32.2,-253.8
-35.3,-264.7
-38.6,-274.1
-41.7,-282.7
-44.8,-289.9
-45,-285.2
-45,-279.4
-45.1,-271.3
-45.2,-268.5
-43.9,-239
-42.6,-208.9
-40.8,-179.4
-40.8,-179.4
-39,-149.2
-37,-123.2
-37.1,-124.7
-37.1,-125
-37.1,-125.2
-35.1,-95.03
-32.6,-65.07
-29.3,-37.44
-26.2,-11.73
-23.2,10.53
-22.5,12.07
-22.5,10.24
-22.5,9.018
-22.5,8.458
-19.5,33.96
-16.7,49.63
-13.7,63.44
-10.7,76.71
-7.69,89.09
-4.64,101.1
-1.7,113.8
1.36,126.7
1.36,126.7
4.22,139.3
5.27,139.5
5.31,129.5
5.3,128.3
5.3,127.8
8.15,156.5
11.4,168.3
14.4,179.3
17.4,190.3
20.4,202.1
23.4,212.8
26.5,225
29.7,237.2
32.9,249
36,261.6
39.4,274.9
42.7,287
45.9,298.4
46.6,295.5
46.6,282
46.6,279.2
45.4,247.9
45.4,247.9
43.9,213.2
42.4,182.5
40.7,152.4
39.3,130
39.3,130.6
39.3,132.3
39.3,132.8
37.4,102
35.2,71.43
32.3,42.21
29.2,17.8
26,-4.684
25,-9.797
24.9,-3.942
25,-3.752
24.9,-3.615
21.9,-32.38
18.8,-49.17
15.7,-64.02
12.8,-77.3
9.71,-91.08
6.66,-103.8
6.66,-103.8
3.67,-116.4
0.607,-129.3
-2.42,-142
-2.44,-138.3
-2.46,-130
-2.45,-127.8
-5.59,-154.7
-8.55,-166.7
-11.6,-177.7
-14.6,-187.7
-17.8,-199.1
-20.7,-207.9
-23.8,-220.2
-26.8,-228.7
-30.1,-239.3
-33.4,-249.6
-36.7,-259.7
-39.8,-269.3
-43.1,-278.6
-44.8,-274.2
-44.8,-265.4
-44.9,-262.1
-44.9,-262.1
-43.4,-227.9
-41.8,-197.8
-40.1,-168.1
-38.2,-138.1
-37,-121.7
-37,-124.4
-37,-124.9
-35,-94.63
-32.4,-64.75
-29.2,-37.97
-26.2,-14.27
-23,8.128
-22.3,13.12
-22.2,8.899
-22.2,8.027
-19.3,32.23
-16.5,47.61
-13.5,61.5
-10.5,75.23
-7.53,87.7
-4.51,99.06
-1.38,111.9
-1.38,111.9
1.67,124.6
4.62,137.6
7.65,150.3
10.7,162
13.7,173.3
16.7,183.4
19.7,193.9
22.8,205.5
22.9,200.6
22.9,192.4
22.9,190.6
21.4,159.1
19.8,128.2
17.8,97.76
15.6,67.16
12.9,37.79
10,14.92
7.62,-2.623
7.59,-0.3064
7.59,0.3067
4.76,-24.48
1.79,-43.68
1.79,-43.68
-1.22,-63.15
-4.19,-83.27
-7.18,-106.3
-10.1,-127.7
-13.1,-147.5
-16,-163.5
-19,-178.3
-19.7,-177.4
-19.7,-176.4
-19.7,-170
-19.7,-170
-19.7,-168
-18.3,-138
-16.5,-108.2
-14.5,-78.99
-12.1,-49.97
-9.12,-23.79
-6.32,-2.015
-5.49,6.174
-5.48,4.352
-5.48,3.765
-2.47,30.41
-2.47,30.41
0.498,51.79
3.52,73.02
6.5,95.47
9.45,119.2
12.3,141.8
12.3,138.5
12.4,131.1
12.3,131
12.4,129.6
15,160
17.9,178
20.8,194.6
23.9,210.2
27,222.5
30,233.5
33.3,245.1
36.5,258
39.7,269.8
42.9,281.4
45.9,292.4
49.1,301.6
52.1,308.9
52.1,308.9
55.1,314.5
58.1,319.2
61.4,322.3
64.8,324.5
68.1,325.9
68.1,323.8
68.3,308.6
68.3,291.8
68.3,290.3
67.3,258.6
65.9,227.4
64.4,197
62.7,166.3
60.9,135.2
59.4,117.4
59.4,119.2
59.4,119.6
57.6,89.08
55.2,58.63
52.4,31.08
49.4,8.445
46.3,-9.147
46.3,-9.147
43.9,-17.18
43.9,-13.02
43.9,-12.09
40.6,-33.58
37.4,-46.52
34.1,-58.37
30.9,-68.62
27.7,-79.35
24.6,-89.03
21.5,-98.47
18.5,-107.8
15.5,-117.7
12.5,-126.9
9.55,-136.3
6.52,-145.2
6.09,-144
6.05,-133.3
6.02,-131.3
2.93,-155.4
-0.152,-164.5
-3.25,-173.2
-6.33,-181.6
-6.33,-181.6
-9.34,-189.8
-12.3,-197.3
-15.3,-203.9
-18.1,-211.2
-21.2,-218.9
-24.2,-226.8
-27.2,-234
-30.2,-241.3
-33.5,-248.1
-36.9,-254.8
-39.9,-260.5
-43.4,-267
-46.6,-272.6
-49.7,-277.1
-52.7,-280.6
-55.6,-283.3
-58.7,-285.5
-61.6,-287.2
-63.5,-286.4
-63.5,-274.6
-63.5,-272.1
-63.5,-263.9
-63.5,-263.9
-63.6,-258.6
-62.4,-229.3
-60.9,-199.4
-59.2,-170.1
-57.2,-139.8
-55.3,-110.3
-53,-80.82
-50.2,-51.5
-47.2,-28.66
-44.1,-8.77
-40.8,9.687
-38.3,21.11
-38.3,20.73
-38.2,17.51
-38.2,16.5
-35.1,38.84
-31.9,52.1
-28.6,63.83
-25.4,74.57
-22.2,84.33
-19.2,92.97
-16.4,101.5
